"","Experiment","Condition","Pair","Block","TrialN","Animal","Number","Movement","Description","Participant","ParticipantID","Score","WordOrder","Marked"
"27029","Experiment2","100-33",63,"Training",75,3,2,2,"boingla hoppo tid","P1","63P1",NA,"VNP",TRUE
"27030","Experiment2","100-33",63,"Training",75,4,1,1,"wooshla bugo pag","P2","63P2",NA,"VNP",TRUE
"27031","Experiment2","100-33",63,"Training",76,4,1,2,"boingla bugo pag","P1","63P1",NA,"VNP",TRUE
"27032","Experiment2","100-33",63,"Training",76,1,2,1,"wooshla beeko tid","P2","63P2",NA,"VNP",TRUE
"27033","Experiment2","100-33",63,"Training",77,1,1,1,"wooshla beeko pag","P1","63P1",NA,"VNP",TRUE
"27034","Experiment2","100-33",63,"Training",77,4,2,2,"boingla bugo tid","P2","63P2",NA,"VNP",TRUE
"27035","Experiment2","100-33",63,"Training",78,2,2,1,"wooshla trunko tid","P1","63P1",NA,"VNP",TRUE
"27036","Experiment2","100-33",63,"Training",78,3,1,1,"wooshla hoppo","P2","63P2",NA,"VN",FALSE
"27037","Experiment2","100-33",63,"Training",79,1,1,2,"boingla beeko pag","P1","63P1",NA,"VNP",TRUE
"27038","Experiment2","100-33",63,"Training",79,4,1,2,"boingla bugo pag","P2","63P2",NA,"VNP",TRUE
"27039","Experiment2","100-33",63,"Training",80,5,1,1,"wooshla oinko pag","P1","63P1",NA,"VNP",TRUE
"27040","Experiment2","100-33",63,"Training",80,6,1,2,"boingla fino pag","P2","63P2",NA,"VNP",TRUE
"27041","Experiment2","100-33",63,"Training",81,6,2,2,"boingla fino tid","P1","63P1",NA,"VNP",TRUE
"27042","Experiment2","100-33",63,"Training",81,3,1,2,"boingla hoppo","P2","63P2",NA,"VN",FALSE
"27043","Experiment2","100-33",63,"Training",82,3,2,1,"wooshla hoppo tid","P1","63P1",NA,"VNP",TRUE
"27044","Experiment2","100-33",63,"Training",82,2,1,2,"boingla trunko","P2","63P2",NA,"VN",FALSE
"27045","Experiment2","100-33",63,"Training",83,1,2,1,"wooshla beeko tid","P1","63P1",NA,"VNP",TRUE
"27046","Experiment2","100-33",63,"Training",83,6,1,1,"wooshla fino","P2","63P2",NA,"VN",FALSE
"27047","Experiment2","100-33",63,"Training",84,4,2,1,"wooshla bugo tid","P1","63P1",NA,"VNP",TRUE
"27048","Experiment2","100-33",63,"Training",84,2,1,1,"wooshla trunko","P2","63P2",NA,"VN",FALSE
"27049","Experiment2","100-33",63,"Training",85,4,1,1,"wooshla bugo pag","P1","63P1",NA,"VNP",TRUE
"27050","Experiment2","100-33",63,"Training",85,5,2,2,"boingla oinko tid","P2","63P2",NA,"VNP",TRUE
"27051","Experiment2","100-33",63,"Training",86,5,2,2,"boingla oinko tid","P1","63P1",NA,"VNP",TRUE
"27052","Experiment2","100-33",63,"Training",86,6,2,1,"wooshla fino tid","P2","63P2",NA,"VNP",TRUE
"27053","Experiment2","100-33",63,"Training",87,3,1,1,"wooshla hoppo pag","P1","63P1",NA,"VNP",TRUE
"27054","Experiment2","100-33",63,"Training",87,5,2,1,"wooshla oinko tid","P2","63P2",NA,"VNP",TRUE
"27055","Experiment2","100-33",63,"Training",88,5,1,2,"boingla oinko pag","P1","63P1",NA,"VNP",TRUE
"27056","Experiment2","100-33",63,"Training",88,3,2,1,"wooshla hoppo tid","P2","63P2",NA,"VNP",TRUE
"27057","Experiment2","100-33",63,"Training",89,6,1,1,"wooshla fino pag","P1","63P1",NA,"VNP",TRUE
"27058","Experiment2","100-33",63,"Training",89,1,1,2,"boingla beeko","P2","63P2",NA,"VN",FALSE
"27059","Experiment2","100-33",63,"Training",90,1,2,2,"boingla beeko tid","P1","63P1",NA,"VNP",TRUE
"27060","Experiment2","100-33",63,"Training",90,4,2,1,"wooshla bugo tid","P2","63P2",NA,"VNP",TRUE
"27061","Experiment2","100-33",63,"Training",91,4,2,2,"boingla bugo tid","P1","63P1",NA,"VNP",TRUE
"27062","Experiment2","100-33",63,"Training",91,2,2,2,"boingla trunko tid","P2","63P2",NA,"VNP",TRUE
"27063","Experiment2","100-33",63,"Training",92,3,1,2,"boingla hoppo pag","P1","63P1",NA,"VNP",TRUE
"27064","Experiment2","100-33",63,"Training",92,2,2,1,"wooshla trunko tid","P2","63P2",NA,"VNP",TRUE
"27065","Experiment2","100-33",63,"Training",93,2,1,1,"wooshla trunko pag","P1","63P1",NA,"VNP",TRUE
"27066","Experiment2","100-33",63,"Training",93,1,1,1,"wooshla beeko","P2","63P2",NA,"VN",FALSE
"27067","Experiment2","100-33",63,"Training",94,6,1,2,"boingla fino pag","P1","63P1",NA,"VNP",TRUE
"27068","Experiment2","100-33",63,"Training",94,6,2,2,"boingla fino tid","P2","63P2",NA,"VNP",TRUE
"27069","Experiment2","100-33",63,"Training",95,6,2,1,"wooshla fino tid","P1","63P1",NA,"VNP",TRUE
"27070","Experiment2","100-33",63,"Training",95,1,2,2,"boingla beeko tid","P2","63P2",NA,"VNP",TRUE
"27071","Experiment2","100-33",63,"Training",96,2,2,2,"boingla trunko tid","P1","63P1",NA,"VNP",TRUE
"27072","Experiment2","100-33",63,"Training",96,3,2,2,"boingla hoppo tid","P2","63P2",NA,"VNP",TRUE
"27073","Experiment2","100-33",63,"Training",97,1,2,2,"boingla beeko tid","P1","63P1",NA,"VNP",TRUE
"27074","Experiment2","100-33",63,"Training",97,5,1,2,"boingla oinko","P2","63P2",NA,"VN",FALSE
"27075","Experiment2","100-33",63,"Training",98,5,1,1,"wooshla oinko pag","P1","63P1",NA,"VNP",TRUE
"27076","Experiment2","100-33",63,"Training",98,5,2,1,"wooshla oinko tid","P2","63P2",NA,"VNP",TRUE
"27077","Experiment2","100-33",63,"Training",99,1,1,2,"boingla beeko pag","P1","63P1",NA,"VNP",TRUE
"27078","Experiment2","100-33",63,"Training",99,3,2,1,"wooshla hoppo tid","P2","63P2",NA,"VNP",TRUE
"27079","Experiment2","100-33",63,"Training",100,4,2,2,"boingla bugo tid","P1","63P1",NA,"VNP",TRUE
"27080","Experiment2","100-33",63,"Training",100,5,2,2,"boingla oinko tid","P2","63P2",NA,"VNP",TRUE
"27081","Experiment2","100-33",63,"Training",101,2,2,2,"boingla trunko tid","P1","63P1",NA,"VNP",TRUE
"27082","Experiment2","100-33",63,"Training",101,6,1,1,"wooshla fino pag","P2","63P2",NA,"VNP",TRUE
"27083","Experiment2","100-33",63,"Training",102,2,1,2,"boingla trunko pag","P1","63P1",NA,"VNP",TRUE
"27084","Experiment2","100-33",63,"Training",102,4,1,2,"boingla bugo","P2","63P2",NA,"VN",FALSE
"27085","Experiment2","100-33",63,"Training",103,6,1,1,"wooshla fino pag","P1","63P1",NA,"VNP",TRUE
"27086","Experiment2","100-33",63,"Training",103,2,1,2,"boingla trunko pag","P2","63P2",NA,"VNP",TRUE
"27087","Experiment2","100-33",63,"Training",104,5,2,2,"boingla oinko tid","P1","63P1",NA,"VNP",TRUE
"27088","Experiment2","100-33",63,"Training",104,4,2,2,"boingla bugo tid","P2","63P2",NA,"VNP",TRUE
"27089","Experiment2","100-33",63,"Training",105,5,2,1,"wooshla oinko tid","P1","63P1",NA,"VNP",TRUE
"27090","Experiment2","100-33",63,"Training",105,3,1,1,"wooshla hoppo","P2","63P2",NA,"VN",FALSE
"27091","Experiment2","100-33",63,"Training",106,2,2,1,"wooshla trunko tid","P1","63P1",NA,"VNP",TRUE
"27092","Experiment2","100-33",63,"Training",106,1,2,1,"wooshla beeko tid","P2","63P2",NA,"VNP",TRUE
"27093","Experiment2","100-33",63,"Training",107,4,1,1,"wooshla bugo pag","P1","63P1",NA,"VNP",TRUE
"27094","Experiment2","100-33",63,"Training",107,1,1,2,"boingla beeko","P2","63P2",NA,"VN",FALSE
"27095","Experiment2","100-33",63,"Training",108,4,1,2,"boingla bugo pag","P1","63P1",NA,"VNP",TRUE
"27096","Experiment2","100-33",63,"Training",108,4,1,1,"wooshla bugo","P2","63P2",NA,"VN",FALSE
"27097","Experiment2","100-33",63,"Training",109,3,2,2,"boingla hoppo tid","P1","63P1",NA,"VNP",TRUE
"27098","Experiment2","100-33",63,"Training",109,4,2,1,"wooshla bugo tid","P2","63P2",NA,"VNP",TRUE
"27099","Experiment2","100-33",63,"Training",110,2,1,1,"wooshla trunko pag","P1","63P1",NA,"VNP",TRUE
"27100","Experiment2","100-33",63,"Training",110,1,1,1,"wooshla beeko pag","P2","63P2",NA,"VNP",TRUE
"27101","Experiment2","100-33",63,"Training",111,3,2,1,"wooshla hoppo tid","P1","63P1",NA,"VNP",TRUE
"27102","Experiment2","100-33",63,"Training",111,1,2,2,"boingla beeko tid","P2","63P2",NA,"VNP",TRUE
"27103","Experiment2","100-33",63,"Training",112,6,1,2,"boingla fino pag","P1","63P1",NA,"VNP",TRUE
"27104","Experiment2","100-33",63,"Training",112,2,2,2,"boingla trunko tid","P2","63P2",NA,"VNP",TRUE
"27105","Experiment2","100-33",63,"Training",113,4,2,1,"wooshla bugo tid","P1","63P1",NA,"VNP",TRUE
"27106","Experiment2","100-33",63,"Training",113,6,2,1,"wooshla fino tid","P2","63P2",NA,"VNP",TRUE
"27107","Experiment2","100-33",63,"Training",114,1,2,1,"wooshla beeko tid","P1","63P1",NA,"VNP",TRUE
"27108","Experiment2","100-33",63,"Training",114,6,1,2,"boingla fino","P2","63P2",NA,"VN",FALSE
"27109","Experiment2","100-33",63,"Training",115,3,1,2,"boingla hoppo pag","P1","63P1",NA,"VNP",TRUE
"27110","Experiment2","100-33",63,"Training",115,2,1,1,"wooshla trunko","P2","63P2",NA,"VN",FALSE
"27111","Experiment2","100-33",63,"Training",116,6,2,2,"boingla fino tid","P1","63P1",NA,"VNP",TRUE
"27112","Experiment2","100-33",63,"Training",116,3,2,2,"boingla hoppo tid","P2","63P2",NA,"VNP",TRUE
"27113","Experiment2","100-33",63,"Training",117,6,2,1,"wooshla fino tid","P1","63P1",NA,"VNP",TRUE
"27114","Experiment2","100-33",63,"Training",117,5,1,1,"wooshla oinko","P2","63P2",NA,"VN",FALSE
"27115","Experiment2","100-33",63,"Training",118,1,1,1,"wooshla beeko pag","P1","63P1",NA,"VNP",TRUE
"27116","Experiment2","100-33",63,"Training",118,6,2,2,"boingla fino tid","P2","63P2",NA,"VNP",TRUE
"27117","Experiment2","100-33",63,"Training",119,3,1,1,"wooshla hoppo pag","P1","63P1",NA,"VNP",TRUE
